city,temp,temp_max,temp_min,lon,lat
Aast,2.47,5.1,1.86,-0.08333,43.283329
Abbans-Dessus,-1.52,4.18,-2.55,5.88188,47.120548
Abbaretz,6.59,7.79,5.73,-1.532,47.553139
Abbeville,7.38,8.61,6.94,1.8333300000000001,50.099998
Abeilhan,4.7,10.02,3.55,3.29529,43.449249
Abidos,5.42,6.38,2.74,-0.61667,43.400002
Abilly,4.5,5.23,3.53,0.73333,46.933331
Abitain,4.7,6.73,3.07,-0.9885800000000001,43.420799
Abjat-sur-Bandiat,6.88,7.78,3.05,0.75831,45.584789
Ablain-Saint-Nazaire,7.25,7.99,6.05,2.7088,50.3932
Ableiges,5.72,6.6,4.92,1.98154,49.089321
Ablis,4.88,5.96,3.85,1.83624,48.5172
Ablon,5.77,7.15,5.25,0.29584000000000005,49.392139
Ablon-sur-Seine,5.74,6.75,4.64,2.42686,48.727322
Abondance,-2.51,0.7,-4.92,6.72026,46.280312
Abondant,5.35,6.08,3.97,1.4400600000000001,48.7859
Abos,5.17,6.22,2.58,-0.56667,43.349998
Abreschviller,2.89,6.11,0.96,7.09466,48.636471
Abrest,-0.86,2.88,-1.66,3.448,46.099072
Abscon,7.29,8.08,5.99,3.3,50.333328
Abzac,5.97,6.67,-0.82,-0.13333,45.01667
Accous,3.64,5.22,1.41,-0.6000000000000001,42.98333
Achenheim,2.26,5.16,-0.97,7.62803,48.5807
Achicourt,7.41,8.22,6.36,2.75779,50.274288
Achiet-le-Grand,6.9,7.84,5.98,2.78119,50.130669
Achères,5.92,6.83,4.68,2.0666700000000002,48.966671
Acquigny,7.06,7.77,5.48,1.1765,49.1735
Afa,9.02,9.09,0.2,8.79469,41.98362
Affoux,-3.23,-0.7,-4.85,4.40454,45.844959
Agde,4.64,9.75,4.02,3.47583,43.310829
Agen,8.34,9.28,5.95,0.6333300000000001,44.200001
Agneaux,7.29,8.77,7.23,-1.1061,49.119049
Agnetz,5.52,6.35,4.81,2.38621,49.38118
Agnos,4.22,7.12,2.54,-0.61667,43.166672
Agny,7.34,8.17,6.31,2.76002,50.25914
Agonac,6.77,8.7,-1.6,0.75024,45.29248
Ahetze,5.88,9.34,3.66,-1.57192,43.40432
Ahun,-0.6,-0.6,-0.6,2.04479,46.085941
Ahuy,1.31,2.62,-0.16,5.02089,47.369438
Aiffres,3.47,4.56,2.95,-0.42101000000000005,46.294491
Aiglemont,4.75,5.32,4.73,4.76483,49.780312
Aigre,3.58,4.37,2.71,0.009630000000000001,45.893768
Aigrefeuille-sur-Maine,5.87,6.73,4.29,-1.4025400000000001,47.07888
Aigueblanche,2.75,8.32,-1.81,6.50806,45.503132
Aiguefonde,8.11,9.27,6.2,2.31686,43.493938
Aigueperse,-1.18,0.01,-1.85,3.20231,46.022839
Aigues-Mortes,4.83,7.1,4.1,4.19068,43.56683
Aigues-Vives,4.6,6.76,2.74,4.18066,43.7379
Aiguillon,6.32,9.89,-0.95,0.3402,44.298931
Aigurande,1.19,1.19,-0.53,1.83026,46.433979
Aillant-sur-Tholon,3.18,3.18,2.72,3.35049,47.87426
Aillas,6.64,7.97,-1.39,-0.07338,44.474079
Aillevillers-et-Lyaumont,-0.84,3.59,-1.12,6.33775,47.92033
Ailly-sur-Noye,6.78,8.29,6.06,2.36367,49.757069
Ailly-sur-Somme,7.16,8.47,6.25,2.19615,49.92886
Aimargues,4.77,7.05,4.08,4.20999,43.684479
Aime,1.68,6.57,-3.01,6.65042,45.555592
Ainay-le-Château,0.99,1.79,0.84,2.7,46.716671
Aingoulaincourt,4.19,4.67,0.53,5.28674,48.45541
Ainharp,3.9,6.68,1.74,-0.9306500000000001,43.260601
Ainhoa,5.35,8.68,3.1,-1.5,43.299999
Airaines,6.9,8.46,6.23,1.94266,49.968262
Airan,6.81,7.26,5.73,-0.15203000000000003,49.100979
Aire-sur-l'Adour,4.58,7.03,2.75,-0.2645,43.701759
Aire-sur-la-Lys,7.59,8.5,6.55,2.3987600000000002,50.63871
Airel,7.42,8.86,7.4,-1.07889,49.218719
Airvault,3.53,4.79,2.95,-0.13634000000000002,46.825328999999996
Aiserey,1.94,3.25,-1.05,5.1626,47.172291
Aiton,1.87,5.31,-1.54,6.26053,45.560478
Aix-Noulette,7.41,8.14,6.19,2.70554,50.425678
Aix-en-Othe,0.97,2.44,0.79,3.7342500000000003,48.223911
Aix-en-Provence,1.46,11.45,-0.95,5.44973,43.528301
Aix-les-Bains,3.34,6.24,0.14,5.92241,45.68338
Aixe-sur-Vienne,6.19,8.13,4.05,1.13884,45.798618
Aizenay,4.43,6.46,3.69,-1.60834,46.74004
Ajaccio,9.48,10.0,0.85,8.73462,41.927231
Ajain,-0.79,-0.79,-0.79,1.9985,46.206348
Ajoncourt,4.25,6.86,2.66,6.28863,48.844528
Alata,6.73,6.76,-2.13,8.74232,41.977489
Alba-la-Romaine,2.26,5.82,1.75,4.59846,44.55537
Albens,3.05,5.81,1.23,5.94875,45.78463
Albert,7.26,8.22,6.55,2.65096,50.000912
Albertville,3.83,5.9,2.77,6.39061,45.674519
Albi,7.79,10.4,4.95,2.148,43.929798
Albias,9.42,9.6,3.81,1.44821,44.090488
Albitreccia,6.8,6.83,-2.07,8.94182,41.86248
Aldudes,2.71,6.86,1.01,-1.4266,43.095539
Alençon,4.63,4.63,4.63,0.08333,48.433331
Alfortville,5.77,6.77,4.64,2.4204,48.805752
Algolsheim,1.96,4.23,0.33,7.55945,48.00629
Algrange,4.85,6.49,2.44,6.04748,49.358631
Alignan-du-Vent,4.49,9.94,3.47,3.34165,43.469452
Alissas,1.96,2.16,1.44,4.62936,44.712528
Alixan,2.16,3.19,1.22,5.02641,44.974758
Alizay,7.04,7.79,5.49,1.17854,49.321579
Allaire,7.02,8.42,5.72,-2.16324,47.63752
Allan,2.8,6.11,2.04,4.78752,44.49865
Allanche,4.73,4.74,-5.28,2.9345600000000003,45.227982
Allas-les-Mines,2.38,7.8,-1.66,1.07196,44.833542
Allassac,4.36,4.36,4.36,1.47532,45.25816
Allauch,3.84,11.45,-1.08,5.48201,43.335732
Alleins,1.26,6.09,-0.64,5.16203,43.703869
Allemans,6.11,7.73,-1.36,0.44370000000000004,44.536659
Allemans-du-Dropt,5.05,8.18,-0.92,0.2902,44.627949
Allennes-les-Marais,7.75,8.3,6.54,2.9536100000000003,50.53754
Alles-sur-Dordogne,1.93,7.53,-1.56,0.86667,44.849998
Alleuze,5.77,6.16,5.38,3.1,44.950001
Allevard,2.16,4.91,-1.93,6.0713,45.393372
Allex,2.63,2.79,2.07,4.91757,44.764542
Allez-et-Cazeneuve,6.23,9.21,3.99,0.61667,44.400002
Allier,0.61,8.17,-2.03,0.7835200000000001,44.998501
Allinges,0.84,3.36,-2.26,6.46363,46.336578
Allonne,5.84,6.45,4.6,2.11427,49.40863
Allonnes,5.62,6.31,3.83,0.02458,47.293381
Allons,5.65,7.04,2.55,-0.05371000000000001,44.201591
Allonzier-la-Caille,0.48,1.57,-3.3,6.11776,46.003521
Allouagne,7.66,8.45,6.5,2.51194,50.53167
Ally,6.43,6.48,6.38,2.3166700000000002,45.166672
Allègre,-4.03,-3.89,-4.16,3.7,45.200001
Almenêches,6.3,6.32,5.85,0.11008000000000001,48.69709
Alsting,6.12,6.82,4.33,6.99397,49.181519
Alteckendorf,3.27,6.74,-1.16,7.59705,48.79166
Altenbach,-1.12,0.44,-4.41,7.0892,47.881489
Althen-des-Paluds,4.94,6.9,0.17,4.95861,44.004051
Altkirch,2.15,3.43,-1.62,7.25,47.616669
Altorf,2.07,4.84,-1.11,7.52787,48.52166
Alvignac,8.77,8.81,8.73,1.69489,44.827221
Alzonne,8.85,10.64,7.56,2.17808,43.25338
Alçay-Alçabéhéty-Sunharette,4.61,4.86,2.6,-0.90951,43.094681
Alès,2.86,6.12,2.05,4.08333,44.133331
Amancy,1.89,2.95,-1.91,6.32973,46.07449
Amanlis,7.31,8.01,6.42,-1.4767700000000001,48.007519
Amanvillers,4.32,6.0,1.81,6.0422,49.166908
