city,temp,temp_max,temp_min
Aast,2.47,5.1,1.86
Aast,2.47,5.1,1.86
Abbans-Dessus,-1.62,3.99,-2.55
Abbans-Dessus,-1.41,4.18,-2.35
Abbaretz,6.59,7.79,5.73
Abbeville,7.38,8.61,6.94
Abbeville,7.38,8.61,6.94
Abeilhan,4.7,10.02,3.55
Abidos,5.42,6.38,2.74
Abidos,5.42,6.38,2.74
Abilly,4.52,5.23,3.56
Abilly,4.49,5.21,3.53
Abitain,4.72,6.73,3.1
Abitain,4.68,6.71,3.07
Abjat-sur-Bandiat,6.87,7.78,3.05
Abjat-sur-Bandiat,6.88,7.78,3.05
Ablain-Saint-Nazaire,7.25,7.99,6.05
Ableiges,5.72,6.6,4.92
Ablis,4.88,5.96,3.85
Ablon,5.87,7.15,5.46
Ablon,5.66,6.93,5.25
Ablon-sur-Seine,5.74,6.75,4.64
Abondance,-2.51,0.7,-4.92
Abondant,5.35,6.08,3.97
Abos,5.17,6.22,2.58
Abos,5.17,6.22,2.58
Abreschviller,2.89,6.11,0.96
Abrest,-0.68,2.88,-1.24
Abrest,-1.04,2.47,-1.66
Abscon,7.37,8.08,5.99
Abscon,7.21,8.08,5.99
Abzac,5.97,6.67,-0.82
Abzac,5.97,6.67,-0.82
Accous,3.64,5.22,1.41
Accous,3.64,5.22,1.41
Achenheim,2.26,5.16,-0.97
Achères,5.9,6.79,4.68
Achères-la-Forêt,4.81,6.19,3.15
Achicourt,7.41,8.22,6.36
Achiet-le-Grand,6.9,7.84,5.98
Achères,5.94,6.83,4.72
Acigné,7.38,7.95,6.36
Acquigny,7.06,7.77,5.48
Afa,9.02,9.09,0.2
Affoux,-3.23,-0.7,-4.85
Affoux,-3.23,-0.7,-4.85
Agde,4.67,9.75,4.07
Agde,4.62,9.69,4.02
Agen,8.34,9.28,5.95
Agen,8.34,9.28,5.95
Agneaux,7.35,8.77,7.35
Agneaux,7.23,8.64,7.23
Agnetz,5.52,6.35,4.81
Agnos,4.22,7.12,2.54
Agnos,4.22,7.12,2.54
Agny,7.34,8.17,6.31
Agonac,6.63,8.6,-1.6
Agonac,6.9,8.7,-1.5
Ahetze,5.79,9.17,3.66
Ahetze,5.96,9.34,3.83
Ahuillé,5.99,7.57,5.66
Ahun,-0.6,-0.6,-0.6
Ahuy,1.31,2.62,-0.16
Aiffres,3.51,4.56,2.95
Aiffres,3.44,4.49,3.07
Aiglemont,4.75,5.32,4.73
Aigné,6.02,6.16,4.52
Aigre,3.58,4.37,2.71
Aigrefeuille-sur-Maine,5.87,6.73,4.29
Grand-Aigueblanche,2.38,7.96,-2.17
Aigueblanche,2.75,8.32,-1.81
Aiguefonde,8.11,9.27,6.2
Aigueperse,-1.18,0.01,-1.85
Aigues-Mortes,4.84,7.1,4.12
Aigues-Mortes,4.82,7.08,4.1
Aigues-Vives,4.6,6.76,2.74
Aiguillon,6.35,9.39,-0.89
