city,temp,temp_max,temp_min
Aast,2.47,5.1,1.86
Abbans-Dessus,-1.52,4.08,-2.45
Abbaretz,6.59,7.79,5.73
Abbeville,7.38,8.61,6.94
Abeilhan,4.7,10.02,3.55
Abidos,5.42,6.38,2.74
Abilly,4.5,5.22,3.54
Abitain,4.7,6.72,3.08
Abjat-sur-Bandiat,6.88,7.78,3.05
Ablain-Saint-Nazaire,7.25,7.99,6.05
Ableiges,5.72,6.6,4.92
Ablis,4.88,5.96,3.85
Ablon,5.77,7.04,5.36
Ablon-sur-Seine,5.74,6.75,4.64
Abondance,-2.51,0.7,-4.92
Abondant,5.35,6.08,3.97
Abos,5.17,6.22,2.58
Abreschviller,2.89,6.11,0.96
Abrest,-0.86,2.67,-1.45
Abscon,7.29,8.08,5.99
Abzac,5.97,6.67,-0.82
Accous,3.64,5.22,1.41
Achenheim,2.26,5.16,-0.97
Achères,5.9,6.79,4.68
Achères-la-Forêt,4.81,6.19,3.15
Achicourt,7.41,8.22,6.36
Achiet-le-Grand,6.9,7.84,5.98
Achères,5.94,6.83,4.72
Acigné,7.38,7.95,6.36
Acquigny,7.06,7.77,5.48
Afa,9.02,9.09,0.2
Affoux,-3.23,-0.7,-4.85
Agde,4.64,9.72,4.04
Agen,8.34,9.28,5.95
Agneaux,7.29,8.71,7.29
Agnetz,5.52,6.35,4.81
Agnos,4.22,7.12,2.54
Agny,7.34,8.17,6.31
Agonac,6.77,8.65,-1.55
Ahetze,5.88,9.25,3.75
Ahuillé,5.99,7.57,5.66
Ahun,-0.6,-0.6,-0.6
Ahuy,1.31,2.62,-0.16
Aiffres,3.47,4.53,3.01
Aiglemont,4.75,5.32,4.73
Aigné,6.02,6.16,4.52
Aigre,3.58,4.37,2.71
Aigrefeuille-sur-Maine,5.87,6.73,4.29
Grand-Aigueblanche,2.56,8.14,-1.99
Aiguefonde,8.11,9.27,6.2
Aigueperse,-1.18,0.01,-1.85
Aigues-Mortes,4.83,7.09,4.11
Aigues-Vives,4.6,6.76,2.74
Aiguillon,6.32,9.64,-0.92
Aigurande,1.19,1.19,-0.53
Aillant-sur-Tholon,3.18,3.18,2.72
Aillas,6.64,7.83,-1.25
Aillevillers-et-Lyaumont,-0.84,3.59,-1.12
Ailly-sur-Noye,6.78,8.29,6.06
Ailly-sur-Somme,7.16,8.47,6.25
Aimargues,4.77,7.05,4.08
Aime,1.68,6.57,-3.01
Ainay-le-Château,1.03,1.79,0.93
Ainay-le-Château,0.96,1.69,0.84
Aingoulaincourt,4.19,4.65,0.55
Ainharp,3.9,6.53,1.89
Ainhoa,5.35,8.68,3.1
Airaines,6.9,8.46,6.23
Valambray,6.81,7.26,5.73
Aire-sur-l'Adour,4.58,7.02,2.76
Aire-sur-la-Lys,7.59,8.5,6.55
Airel,7.42,8.84,7.42
Airvault,3.53,4.79,2.95
Aiserey,1.94,3.25,-1.05
Aiton,1.87,5.31,-1.54
Aix-Noulette,7.41,8.14,6.19
